<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
RGBI;1;20250103;000000;106.58;106.58;106.58;106.58;0;0
RGBI;1;20250103;100000;106.83;106.84;106.83;106.84;0;0
RGBI;1;20250103;100100;106.85;106.85;106.83;106.84;0;0
RGBI;1;20250103;100200;106.83;106.85;106.83;106.85;0;0
RGBI;1;20250103;100300;106.85;106.85;106.84;106.85;0;0
RGBI;1;20250103;100400;106.85;106.86;106.85;106.86;0;0
RGBI;1;20250103;100500;106.86;106.87;106.86;106.87;0;0
RGBI;1;20250103;100600;106.86;106.88;106.86;106.88;0;0
RGBI;1;20250103;100700;106.88;106.89;106.88;106.88;0;0
RGBI;1;20250103;100800;106.88;106.89;106.88;106.89;0;0
RGBI;1;20250103;100900;106.89;106.89;106.88;106.89;0;0
RGBI;1;20250103;101000;106.89;106.91;106.89;106.91;0;0
RGBI;1;20250103;101100;106.92;106.92;106.91;106.91;0;0
RGBI;1;20250103;101200;106.91;106.91;106.91;106.91;0;0
RGBI;1;20250103;101300;106.91;106.91;106.91;106.91;0;0
RGBI;1;20250103;101400;106.91;106.92;106.91;106.92;0;0
RGBI;1;20250103;101500;106.92;106.92;106.92;106.92;0;0
RGBI;1;20250103;101600;106.92;106.93;106.92;106.93;0;0
RGBI;1;20250103;101700;106.93;106.93;106.93;106.93;0;0
RGBI;1;20250103;101800;106.93;106.93;106.93;106.93;0;0
RGBI;1;20250103;101900;106.94;106.94;106.94;106.94;0;0
RGBI;1;20250103;102000;106.94;106.94;106.94;106.94;0;0
RGBI;1;20250103;102100;106.94;106.94;106.94;106.94;0;0
RGBI;1;20250103;102200;106.94;106.95;106.94;106.95;0;0
RGBI;1;20250103;102300;106.95;106.95;106.95;106.95;0;0
RGBI;1;20250103;102400;106.95;106.95;106.95;106.95;0;0
RGBI;1;20250103;102500;106.95;106.95;106.95;106.95;0;0
RGBI;1;20250103;102600;106.95;106.95;106.95;106.95;0;0
RGBI;1;20250103;102700;106.95;106.96;106.95;106.96;0;0
RGBI;1;20250103;102800;106.96;106.96;106.96;106.96;0;0
RGBI;1;20250103;102900;106.96;106.97;106.96;106.97;0;0
RGBI;1;20250103;103000;106.97;106.97;106.96;106.96;0;0
RGBI;1;20250103;103100;106.96;106.96;106.95;106.95;0;0
RGBI;1;20250103;103200;106.95;106.95;106.95;106.95;0;0
RGBI;1;20250103;103300;106.95;106.95;106.92;106.92;0;0
RGBI;1;20250103;103400;106.92;106.92;106.91;106.91;0;0
RGBI;1;20250103;103500;106.91;106.91;106.91;106.91;0;0
RGBI;1;20250103;103600;106.9;106.9;106.9;106.9;0;0
RGBI;1;20250103;103700;106.9;106.91;106.9;106.91;0;0
RGBI;1;20250103;103800;106.91;106.91;106.91;106.91;0;0
RGBI;1;20250103;103900;106.91;106.91;106.91;106.91;0;0
RGBI;1;20250103;104000;106.91;106.91;106.91;106.91;0;0
RGBI;1;20250103;104100;106.91;106.91;106.91;106.91;0;0
RGBI;1;20250103;104200;106.91;106.91;106.91;106.91;0;0
RGBI;1;20250103;104300;106.91;106.91;106.91;106.91;0;0
RGBI;1;20250103;104400;106.91;106.91;106.91;106.91;0;0
RGBI;1;20250103;104500;106.91;106.91;106.91;106.91;0;0
RGBI;1;20250103;104600;106.91;106.91;106.91;106.91;0;0
