<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ОФЗ 26240;1;20250103;095900;59.723;59.723;59.723;59.723;1;0
ОФЗ 26240;1;20250103;100000;59.723;59.796;59.723;59.796;35;0
ОФЗ 26240;1;20250103;100100;59.796;59.998;59.796;59.826;63;0
ОФЗ 26240;1;20250103;100200;59.826;59.998;59.729;59.928;57;0
ОФЗ 26240;1;20250103;100300;59.928;59.998;59.761;59.928;35;0
ОФЗ 26240;1;20250103;100400;59.775;59.998;59.775;59.991;335;0
ОФЗ 26240;1;20250103;100500;59.827;59.985;59.799;59.8;157;0
ОФЗ 26240;1;20250103;100600;59.8;59.8;59.783;59.783;78;0
ОФЗ 26240;1;20250103;100700;59.79;59.79;59.765;59.79;47;0
ОФЗ 26240;1;20250103;100800;59.79;59.8;59.78;59.8;545;0
ОФЗ 26240;1;20250103;100900;59.972;60.143;59.928;59.928;956;0
ОФЗ 26240;1;20250103;101000;60.179;60.6;59.813;60.029;1560;0
ОФЗ 26240;1;20250103;101100;60.029;60.496;59.826;60.029;792;0
ОФЗ 26240;1;20250103;101200;60.029;60.44;59.879;60.432;326;0
ОФЗ 26240;1;20250103;101300;60.428;60.428;59.914;60.413;72;0
ОФЗ 26240;1;20250103;101400;60.393;60.393;60.377;60.377;18;0
ОФЗ 26240;1;20250103;101500;60.369;60.369;60.007;60.024;37;0
ОФЗ 26240;1;20250103;101600;60.026;60.35;59.909;59.928;28;0
ОФЗ 26240;1;20250103;101700;60.334;60.334;59.964;60.334;54;0
ОФЗ 26240;1;20250103;101800;60.372;60.372;59.97;60.328;38;0
ОФЗ 26240;1;20250103;101900;60.329;60.33;60.009;60.013;52;0
ОФЗ 26240;1;20250103;102000;60.329;60.329;60.038;60.038;3;0
ОФЗ 26240;1;20250103;102100;60.054;60.4;60.054;60.4;43;0
ОФЗ 26240;1;20250103;102200;60.076;60.399;60.076;60.399;30;0
ОФЗ 26240;1;20250103;102300;60.127;60.127;60.061;60.076;14;0
ОФЗ 26240;1;20250103;102400;60.073;60.1;60.072;60.1;55;0
ОФЗ 26240;1;20250103;102500;60.1;60.1;59.882;60.1;112;0
ОФЗ 26240;1;20250103;102600;60.1;60.395;60.1;60.395;122;0
ОФЗ 26240;1;20250103;102700;60.393;60.393;60.102;60.373;57;0
ОФЗ 26240;1;20250103;102800;60.105;60.4;60.105;60.4;103;0
ОФЗ 26240;1;20250103;102900;60.14;60.14;60.1;60.1;40;0
ОФЗ 26240;1;20250103;103000;60.101;60.14;60.101;60.14;26;0
ОФЗ 26240;1;20250103;103100;60.101;60.14;60.101;60.101;8;0
ОФЗ 26240;1;20250103;103200;60.14;60.14;60.101;60.101;8;0
ОФЗ 26240;1;20250103;103300;60.14;60.3;60.14;60.3;106;0
ОФЗ 26240;1;20250103;103400;60.283;60.399;60.283;60.367;231;0
ОФЗ 26240;1;20250103;103500;60.3;60.368;60.121;60.349;220;0
ОФЗ 26240;1;20250103;103600;60.146;60.319;60.146;60.319;2;0
ОФЗ 26240;1;20250103;103700;60.248;60.249;60.248;60.249;3;0
ОФЗ 26240;1;20250103;103800;60.25;60.25;60.2;60.2;6;0
ОФЗ 26240;1;20250103;103900;60.181;60.2;60.181;60.2;8;0
ОФЗ 26240;1;20250103;104000;60.2;60.2;60.181;60.181;42;0
ОФЗ 26240;1;20250103;104100;60.2;60.2;60.181;60.181;47;0
ОФЗ 26240;1;20250103;104200;60.2;60.2;60.181;60.2;13;0
ОФЗ 26240;1;20250103;104300;60.2;60.2;60.18;60.18;3;0
ОФЗ 26240;1;20250103;104400;60.18;60.18;60.1;60.1;125;0
ОФЗ 26240;1;20250103;104500;60.2;60.2;60.2;60.2;3;0
ОФЗ 26240;1;20250103;104600;60.2;60.319;60.2;60.319;245;0
ОФЗ 26240;1;20250103;104700;60.32;60.32;60.32;60.32;9;0
ОФЗ 26240;1;20250103;104800;60.32;60.32;60.319;60.319;24;0
ОФЗ 26240;1;20250103;104900;60.32;60.32;60.319;60.32;92;0
ОФЗ 26240;1;20250103;105000;60.319;60.32;60.319;60.319;57;0
ОФЗ 26240;1;20250103;105100;60.318;60.32;60.203;60.32;23;0
ОФЗ 26240;1;20250103;105200;60.319;60.32;60.319;60.32;165;0
ОФЗ 26240;1;20250103;105300;60.316;60.316;59.95;59.95;529;0
ОФЗ 26240;1;20250103;105400;59.95;60.246;59.874;60.246;1753;0
ОФЗ 26240;1;20250103;105500;60.228;60.228;59.95;59.95;70;0
ОФЗ 26240;1;20250103;105600;59.9;59.9;59.72;59.899;211;0
ОФЗ 26240;1;20250103;105700;59.9;59.9;59.7;59.879;44;0
ОФЗ 26240;1;20250103;105800;59.875;59.875;59.798;59.798;23;0
ОФЗ 26240;1;20250103;105900;59.798;59.798;59.7;59.7;133;0
ОФЗ 26240;1;20250103;110000;59.7;59.7;59.576;59.576;78;0
ОФЗ 26240;1;20250103;110100;59.7;59.797;59.696;59.796;44;0
ОФЗ 26240;1;20250103;110200;59.798;59.798;59.696;59.797;39;0
ОФЗ 26240;1;20250103;110300;59.798;59.798;59.617;59.617;70;0
ОФЗ 26240;1;20250103;110400;59.79;59.79;59.79;59.79;100;0
ОФЗ 26240;1;20250103;110500;59.788;59.788;59.782;59.782;28;0
ОФЗ 26240;1;20250103;110600;59.782;59.782;59.618;59.618;27;0
ОФЗ 26240;1;20250103;110700;59.618;59.783;59.618;59.769;75;0
ОФЗ 26240;1;20250103;110800;59.768;59.783;59.602;59.783;28;0
ОФЗ 26240;1;20250103;110900;59.603;59.779;59.602;59.779;6;0
ОФЗ 26240;1;20250103;111000;59.777;59.782;59.773;59.773;7;0
ОФЗ 26240;1;20250103;111100;59.767;59.767;59.764;59.764;5;0
ОФЗ 26240;1;20250103;111200;59.767;59.767;59.601;59.601;151;0
ОФЗ 26240;1;20250103;111400;59.65;59.65;59.65;59.65;3;0
ОФЗ 26240;1;20250103;111500;59.65;59.65;59.621;59.621;5;0
ОФЗ 26240;1;20250103;111600;59.65;59.65;59.65;59.65;1;0
ОФЗ 26240;1;20250103;111700;59.622;59.65;59.622;59.65;4;0
ОФЗ 26240;1;20250103;111800;59.65;59.65;59.621;59.621;4;0
ОФЗ 26240;1;20250103;111900;59.65;59.65;59.602;59.602;18;0
ОФЗ 26240;1;20250103;112000;59.65;59.65;59.4;59.636;1510;0
ОФЗ 26240;1;20250103;112300;59.595;59.595;59.512;59.593;130;0
ОФЗ 26240;1;20250103;112400;59.512;59.512;59.512;59.512;2;0
ОФЗ 26240;1;20250103;112500;59.59;59.591;59.59;59.591;2;0
ОФЗ 26240;1;20250103;112600;59.588;59.588;59.584;59.584;6;0
ОФЗ 26240;1;20250103;112800;59.453;59.57;59.45;59.57;252;0
ОФЗ 26240;1;20250103;112900;59.566;59.566;59.562;59.563;146;0
ОФЗ 26240;1;20250103;113000;59.562;59.565;59.562;59.564;32;0
ОФЗ 26240;1;20250103;113100;59.564;59.564;59.564;59.564;30;0
ОФЗ 26240;1;20250103;113200;59.563;59.565;59.563;59.565;35;0
ОФЗ 26240;1;20250103;113300;59.564;59.564;59.494;59.564;16;0
ОФЗ 26240;1;20250103;113400;59.494;59.494;59.494;59.494;7;0
ОФЗ 26240;1;20250103;113500;59.494;59.494;59.452;59.452;21;0
ОФЗ 26240;1;20250103;113600;59.5;59.5;59.456;59.456;310;0
ОФЗ 26240;1;20250103;113700;59.558;59.559;59.557;59.559;104;0
ОФЗ 26240;1;20250103;113800;59.559;59.559;59.464;59.464;93;0
ОФЗ 26240;1;20250103;113900;59.46;59.594;59.459;59.46;58;0
ОФЗ 26240;1;20250103;114000;59.594;59.595;59.46;59.591;53;0
ОФЗ 26240;1;20250103;114100;59.591;59.594;59.464;59.464;31;0
ОФЗ 26240;1;20250103;114200;59.465;59.465;59.451;59.451;135;0
ОФЗ 26240;1;20250103;114300;59.58;59.593;59.58;59.593;30;0
ОФЗ 26240;1;20250103;114400;59.574;59.574;59.462;59.464;136;0
ОФЗ 26240;1;20250103;114500;59.464;59.566;59.464;59.564;77;0
ОФЗ 26240;1;20250103;114600;59.465;59.556;59.45;59.556;66;0
ОФЗ 26240;1;20250103;114700;59.45;59.545;59.412;59.545;49;0
ОФЗ 26240;1;20250103;114800;59.589;59.589;59.45;59.45;6;0
ОФЗ 26240;1;20250103;114900;59.529;59.529;59.529;59.529;2;0
ОФЗ 26240;1;20250103;115000;59.529;59.529;59.523;59.523;134;0
ОФЗ 26240;1;20250103;115100;59.522;59.526;59.522;59.526;116;0
ОФЗ 26240;1;20250103;115200;59.534;59.534;59.534;59.534;17;0
ОФЗ 26240;1;20250103;115400;59.537;59.539;59.526;59.539;23;0
ОФЗ 26240;1;20250103;115500;59.539;59.539;59.539;59.539;8;0
ОФЗ 26240;1;20250103;115600;59.54;59.54;59.536;59.537;49;0
ОФЗ 26240;1;20250103;115700;59.526;59.526;59.42;59.42;520;0
ОФЗ 26240;1;20250103;115900;59.537;59.537;59.536;59.536;53;0
ОФЗ 26240;1;20250103;120000;59.536;59.536;59.433;59.532;125;0
