dt,z,beta,pos_dir,pos_change,hedge_close,sber_close,sber_qty,hedge_qty,pnl_price,pnl_carry,pnl_commission,pnl_total,pnl_cum
2025-01-03,0.0,0.0,0.0,0.0,59.005,273.2,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-06,0.0,0.0,0.0,0.0,58.743,272.44,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-08,0.0,0.0,0.0,0.0,58.632,276.98,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-09,0.0,0.0,0.0,0.0,57.651,271.8,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-10,0.0,0.0,0.0,0.0,57.071,278.17,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-13,0.0,0.0,0.0,0.0,56.86,281.8,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-14,0.0,0.0,0.0,0.0,56.353,279.73,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-15,0.0,0.0,0.0,0.0,55.451,277.24,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-16,0.0,0.0,0.0,0.0,55.351,282.7,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-17,0.0,0.0,0.0,0.0,54.597,283.9,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-20,0.0,0.0,0.0,0.0,54.814,280.5,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-01-21,0.0,0.0,0.0,0.0,54.339,281.08,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-22,0.0,0.0,0.0,0.0,54.149,283.87,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-23,0.0,0.0,0.0,0.0,53.4,278.51,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-24,0.0,0.0,0.0,0.0,53.385,280.72,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-27,0.0,0.0,0.0,0.0,52.789,276.52,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-28,0.0,0.0,0.0,0.0,52.788,278.7,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-29,0.0,0.0,0.0,0.0,52.44,282.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-30,0.0,0.0,0.0,0.0,52.33,282.5,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-31,0.0,0.0,0.0,0.0,52.15,280.95,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-02-03,0.0,0.0,0.0,0.0,52.05,279.22,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-02-04,0.0,0.0,0.0,0.0,51.612,278.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-02-05,0.0,0.0,0.0,0.0,51.934,280.79,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-02-06,0.0,0.0,0.0,0.0,52.136,287.15,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-02-07,-1.0485353694669375,0.6190002015523731,0.0,0.0,52.85,286.3,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-02-10,1.7611634383435781,0.6772894768229083,-1.0,-1.0,52.802,293.5,-42589.43781942078,236733.45706602023,0.0,-0.23782343987823484,-25.0,-25.237823439878234,-25.237823439878234
2025-02-11,-0.10537027754738126,0.6680725015296195,0.0,1.0,52.705,293.5,0.0,-0.0,-22963.14533540427,-2.853881278538813,-24.977036854664593,-22990.976253537472,-23016.21407697735
2025-02-12,-0.6751569026088754,0.48819249883003,-1.0,-1.0,53.575,294.0,-42517.00680272109,233317.77881474566,0.0,-0.23782343987823484,-25.0,-25.237823439878234,-23041.45190041723
2025-02-13,0.7677689041295277,0.7415830927962193,-1.0,0.0,56.8,310.75,-40225.26146419952,220070.42253521128,40289.97273197526,-3.2542982946603303,-1.4646097006231305,40285.25382397997,17243.80192356274
2025-02-14,1.3209218012092183,0.6518281802412618,-1.0,0.0,54.71,309.57,-40378.589656620476,228477.42643026868,-412481.37457083503,-3.080867775830802,-0.5074129916263462,-412484.96285160247,-395241.16092803975
2025-02-17,1.3106672954916443,0.6815001485805411,-1.0,0.0,55.35,318.5,-39246.46781789639,225835.59168925023,-214355.25271824904,-3.1740291032649064,-0.5068063585489933,-214358.93355371087,-609600.0944817506
2025-02-18,-1.6933756155125075,0.6599077221845974,1.0,2.0,55.567,313.03,39932.27486183433,-224953.6595461335,263684.50236046134,-3.0426914355485786,-49.834328144432675,263631.62534088135,-345968.4691408693
2025-02-19,0.03640805145849013,0.6581067387930492,0.0,-1.0,55.799,315.0,0.0,-0.0,26477.332463111896,2.8718416852689077,-25.130855830492518,26455.073448966672,-319513.3956919026
2025-02-20,-0.6606847396939446,0.6385187394870477,1.0,1.0,56.4,315.31,39643.5254194285,-221631.20567375887,0.0,-0.23782343987823484,-25.0,-25.237823439878234,-319538.6335153425
2025-02-21,-0.38074483101795986,0.6395832646213999,1.0,0.0,56.27,314.12,39793.7094104164,-222143.2379598365,-18363.738511532178,2.6052871091516465,-0.07598785198670631,-18361.20921227501,-337899.8427276175
2025-02-24,0.0002996286301543643,0.6387794021648175,0.0,-1.0,56.337,315.19,0.0,-0.0,27695.67212583619,2.8636025728468364,-25.057462866012454,27673.478265543024,-310226.3644620745
2025-02-25,-0.011215942039738105,0.637700091564995,0.0,0.0,56.45,316.38,0.0,-0.0,0.0,0.0,-0.0,0.0,-310226.3644620745
2025-02-26,-1.451345291738573,0.6142554559634573,1.0,1.0,56.847,312.53,39996.160368604615,-219888.47256671416,-0.0,-0.23782343987823484,-25.0,-25.237823439878234,-310251.60228551435
